timestamp,ref_lat,ref_lon,x,y,z,vx,vy,vz,ax,ay,az,dist_bottom
25960000,39.8714137,32.7364368,4.097171,285.75165,-59.32532,11.197611,16.022078,-3.118799,7.899931,-5.9475307,-0.75780594,59.48099
26064000,39.8714137,32.7364368,5.30314,287.4153,-59.65857,12.018391,15.408322,-3.205213,7.839725,-6.3656883,-0.8782567,59.81424
26160000,39.8714137,32.7364368,6.491795,288.89438,-59.974125,12.772115,14.778531,-3.295343,7.8013887,-7.2037883,-0.95627826,60.129795
26264000,39.8714137,32.7364368,7.86092,290.4212,-60.326923,13.578466,14.013797,-3.4140956,7.6102934,-7.952619,-1.332703,60.482594
26360000,39.8714137,32.7364368,9.1978245,291.75885,-60.66459,14.300938,13.247456,-3.5385993,7.29382,-8.4887905,-1.3438472,60.82026
26464000,39.8714137,32.7364368,10.722404,293.11722,-61.04487,15.044909,12.358439,-3.6733167,6.8757257,-8.892024,-1.2247124,61.20054
26560000,39.8714137,32.7364368,12.194385,294.28952,-61.408752,15.690268,11.500323,-3.791037,6.4817877,-9.268572,-1.1291001,61.564423
26664000,39.8714137,32.7364368,13.85909,295.45956,-61.815685,16.342487,10.534779,-3.9073927,6.0543957,-9.612421,-0.9605502,61.971355
26760000,39.8714137,32.7364368,15.45704,296.4491,-62.20134,16.895712,9.619596,-4.0054817,5.4230666,-9.710674,-0.94447,62.35701
26864000,39.8714137,32.7364368,17.245169,297.41602,-62.629345,17.43345,8.612906,-4.1047173,4.870935,-9.804309,-0.92660165,62.785015
26960000,39.8714137,32.7364368,18.944345,298.21786,-63.033802,17.871346,7.6877604,-4.192788,4.199591,-9.754663,-0.8713975,63.189472
27064000,39.8714137,32.7364368,20.828577,298.9818,-63.48109,18.277033,6.6991286,-4.2811728,3.5541208,-9.481854,-0.74640375,63.63676
27160000,39.8714137,32.7364368,22.602665,299.597,-63.902103,18.590118,5.815346,-4.355192,2.90947,-9.105841,-0.65475047,64.05778
27264000,39.8714137,32.7364368,24.554413,300.16507,-64.365295,18.866362,4.9017086,-4.4288793,2.2573657,-8.661347,-0.62902266,64.520966
27360000,39.8714137,32.7364368,26.376963,300.6069,-64.79962,19.070084,4.1027584,-4.489582,1.8016624,-8.068083,-0.5694711,64.95529
27464000,39.8714137,32.7364368,28.371075,300.9981,-65.27546,19.239704,3.2977297,-4.544646,1.40766,-7.531799,-0.49575323,65.43113
27560000,39.8714137,32.7364368,30.22862,301.28482,-65.72027,19.354918,2.6022966,-4.5953465,0.94783765,-6.9674096,-0.5045691,65.87594
27664000,39.8714137,32.7364368,32.250122,301.52063,-66.207016,19.442114,1.9091244,-4.6483846,0.652763,-6.407277,-0.4979651,66.362686
27760000,39.8714137,32.7364368,34.122066,301.6732,-66.66015,19.488554,1.3238829,-4.6934423,0.3753847,-5.8424006,-0.41821504,66.81582
