timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
191820000,191820000,-0.001320107,0.00112308,-0.079538524,0,0,0,0,0
191824000,191824000,-0.001456472,0.001070747,-0.07961115,0,0,0,0,0
191828000,191828000,-0.001619261,0.000975791,-0.07963272,0,0,0,0,0
191832000,191832000,-0.001895389,0.000912273,-0.079621434,0,0,0,0,0
191836000,191836000,-0.002440614,0.008816044,-0.07917441,0,0,0,0,0
191844000,191844000,-0.002799776,0.008836382,-0.07909117,0,0,0,0,0
191848000,191848000,-0.002518155,0.008817026,-0.07895792,0,0,0,0,0
191852000,191852000,-0.002593765,0.008631918,-0.07907284,0,0,0,0,0
191856000,191856000,-0.002737512,0.008471837,-0.079247095,0,0,0,0,0
191860000,191860000,-0.002293394,0.005187332,-0.07937977,0,0,0,0,0
191864000,191864000,-0.002247052,0.005244924,-0.07936347,0,0,0,0,0
191868000,191868000,-0.002116335,0.005327953,-0.07932272,0,0,0,0,0
191872000,191872000,-0.00170134,0.005376715,-0.07924536,0,0,0,0,0
191876000,191876000,-0.001146235,0.005394536,-0.07919809,0,0,0,0,0
191880000,191880000,-0.000920978,0.005438604,-0.07922549,0,0,0,0,0
191884000,191884000,-0.000751679,0.00869262,-0.07895368,0,0,0,0,0
191888000,191888000,-0.000918268,0.008672643,-0.07897427,0,0,0,0,0
191892000,191892000,-0.000955039,0.008625874,-0.07918391,0,0,0,0,0
191896000,191896000,-0.001195762,0.008613236,-0.079146795,0,0,0,0,0
191900000,191900000,-0.00130381,0.008679461,-0.07900059,0,0,0,0,0
191904000,191904000,-0.00103657,0.008768727,-0.07888162,0,0,0,0,0
191908000,191908000,-0.000534729,0.004100047,-0.07899607,0,0,0,0,0
191912000,191912000,-0.000474213,0.00393703,-0.07900144,0,0,0,0,0
191916000,191916000,-0.00020173,0.003752051,-0.07905148,0,0,0,0,0
191920000,191920000,-1.07E-05,0.003672674,-0.079200245,0,0,0,0,0
191924000,191924000,7.85E-05,0.003633425,-0.07932664,0,0,0,0,0
191928000,191928000,7.58E-05,0.003577231,-0.07929804,0,0,0,0,0
191932000,191932000,-8.49E-05,0.003729688,-0.0791897,0,0,0,0,0
191936000,191936000,-0.000335387,0.003748665,-0.07912753,0,0,0,0,0
191940000,191940000,-0.000576535,0.003687115,-0.079130754,0,0,0,0,0
191944000,191944000,-0.000648825,0.003586402,-0.079186924,0,0,0,0,0
191948000,191948000,-0.000605015,0.003542868,-0.07920366,0,0,0,0,0
191952000,191952000,-0.000660082,0.003570067,-0.07915933,0,0,0,0,0
191956000,191956000,-0.000372428,-0.00065173,-0.07919402,0,0,0,0,0
191960000,191960000,-0.000556055,-0.000640441,-0.07920387,0,0,0,0,0
191964000,191964000,-0.000530588,-0.000673138,-0.079203404,0,0,0,0,0
191968000,191968000,-0.001190795,-0.000762792,-0.079302795,0,0,0,0,0
191972000,191972000,-0.001301029,-0.000851439,-0.07936832,0,0,0,0,0
191976000,191976000,-0.000865059,-0.000864515,-0.07941174,0,0,0,0,0
191980000,191980000,-4.81E-05,-0.001072241,-0.079199,0,0,0,0,0
191984000,191984000,-9.79E-06,-0.001065806,-0.07905314,0,0,0,0,0
191988000,191988000,6.59E-05,-0.001188422,-0.07902157,0,0,0,0,0
191992000,191992000,0.000370368,-0.001179107,-0.07833512,0,0,0,0,0
191996000,191996000,0.000393115,-0.001197619,-0.07833298,0,0,0,0,0
192004000,192004000,-9.57E-05,0.00670926,-0.077822536,0,0,0,0,0
192008000,192008000,9.40E-06,0.006829294,-0.07791751,0,0,0,0,0
192012000,192012000,4.54E-05,0.006830881,-0.077915095,0,0,0,0,0
192016000,192016000,0.000346129,0.00699215,-0.078102626,0,0,0,0,0
192020000,192020000,0.00012395,0.006994012,-0.07807131,0,0,0,0,0
192028000,192028000,0.000207284,0.003808245,-0.07783099,0,0,0,0,0
192032000,192032000,0.000284038,0.003716203,-0.07782361,0,0,0,0,0
192036000,192036000,0.000182639,0.00359623,-0.07789519,0,0,0,0,0
192040000,192040000,-6.97E-05,0.003471073,-0.07797952,0,0,0,0,0
192044000,192044000,-5.12E-05,0.003454255,-0.07797814,0,0,0,0,0
192048000,192048000,-0.00046057,0.0034706,-0.078004025,0,0,0,0,0
192052000,192052000,-0.00050224,0.006848716,-0.07776504,0,0,0,0,0
192056000,192056000,-0.000199329,0.006896285,-0.0777247,0,0,0,0,0
192060000,192060000,0.000120313,0.006815491,-0.077674754,0,0,0,0,0
192064000,192064000,9.08E-05,0.006727919,-0.07765121,0,0,0,0,0
192068000,192068000,0.000110808,0.006738813,-0.07764719,0,0,0,0,0
192076000,192076000,0.000157868,0.00240518,-0.077819206,0,0,0,0,0
192080000,192080000,0.000151793,0.002305752,-0.07791153,0,0,0,0,0
192084000,192084000,0.000209449,0.002146376,-0.07796722,0,0,0,0,0
192088000,192088000,0.000349719,0.002068086,-0.07791238,0,0,0,0,0
192096000,192096000,0.000627751,0.002104621,-0.078107946,0,0,0,0,0
192100000,192100000,0.000811594,0.001889218,-0.0780255,0,0,0,0,0
192104000,192104000,0.000803511,0.001806436,-0.078037106,0,0,0,0,0
192108000,192108000,0.000979052,0.001701934,-0.078014046,0,0,0,0,0
192112000,192112000,0.001315307,0.00160243,-0.077988066,0,0,0,0,0
192116000,192116000,0.001830585,0.001597906,-0.07800461,0,0,0,0,0
192120000,192120000,0.002170218,0.001692994,-0.0780634,0,0,0,0,0
192124000,192124000,0.002481021,-0.002443733,-0.0782334,0,0,0,0,0
192128000,192128000,0.001823606,-0.002451226,-0.0782205,0,0,0,0,0
192132000,192132000,0.001198349,-0.002502788,-0.07814121,0,0,0,0,0
192140000,192140000,0.00117254,-0.002611844,-0.07807649,0,0,0,0,0
192144000,192144000,0.001183597,-0.002740525,-0.078122646,0,0,0,0,0
192148000,192148000,0.00121221,-0.006555371,-0.078399144,0,0,0,0,0
192152000,192152000,0.001367791,-0.006591199,-0.07843139,0,0,0,0,0
192156000,192156000,0.001407141,-0.006660309,-0.07840422,0,0,0,0,0
192160000,192160000,0.001180319,-0.006677637,-0.07836087,0,0,0,0,0
192164000,192164000,0.000940413,-0.006632289,-0.0783676,0,0,0,0,0
192172000,192172000,0.001118693,-0.001188941,-0.07785787,0,0,0,0,0
192176000,192176000,0.00067618,-0.001272986,-0.07780185,0,0,0,0,0
192180000,192180000,0.000363695,-0.001316071,-0.07785992,0,0,0,0,0
192184000,192184000,0.000147876,-0.001161471,-0.077871084,0,0,0,0,0
192188000,192188000,0.000140098,-0.000900121,-0.077775,0,0,0,0,0
192192000,192192000,0.0003802,-0.000724744,-0.07767711,0,0,0,0,0
192196000,192196000,0.00111122,-0.002311943,-0.077687845,0,0,0,0,0
192200000,192200000,0.001131525,-0.002444968,-0.07775332,0,0,0,0,0
192204000,192204000,0.000890036,-0.002682244,-0.07771512,0,0,0,0,0
192208000,192208000,0.000773975,-0.002797658,-0.077638745,0,0,0,0,0
192212000,192212000,0.000862586,-0.002759071,-0.077592395,0,0,0,0,0
192216000,192216000,0.001032044,-0.002706779,-0.077581376,0,0,0,0,0
192220000,192220000,0.001701248,0.004071312,-0.07705784,0,0,0,0,0
192224000,192224000,0.001878585,0.004163198,-0.07702145,0,0,0,0,0
192228000,192228000,0.001972199,0.004199021,-0.07698762,0,0,0,0,0
192236000,192236000,0.001441606,0.004169505,-0.077197,0,0,0,0,0
192240000,192240000,0.001156592,0.004148503,-0.077191725,0,0,0,0,0
192244000,192244000,0.001312211,-0.000417255,-0.077300064,0,0,0,0,0
192248000,192248000,0.001322533,-0.000445042,-0.077297024,0,0,0,0,0
192252000,192252000,0.002082409,-0.000633188,-0.07737212,0,0,0,0,0
