timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0]
197520000,-0.5688845,-0.24170305,-1.6306901,0,0.6286405,-0.27523103,0.123457275,-0.7168105,0
197544000,-0.5748929,-0.23246157,-1.630941,0,0.6290272,-0.27400535,0.12877406,-0.71600497,0
197568000,-0.58708566,-0.23335575,-1.6314496,0,0.6270355,-0.2781004,0.13290507,-0.71541786,0
197592000,-0.59276134,-0.23132809,-1.6317071,0,0.626443,-0.27918345,0.13565579,-0.71499884,0
197616000,-0.59841853,-0.23486993,-1.6319667,0,0.62504554,-0.28211907,0.13651836,-0.7149054,0
197640000,-0.60385466,-0.2372412,-1.6322285,0,0.6238365,-0.2845893,0.13769783,-0.71475613,0
197664000,-0.6146676,-0.24025147,-1.6271386,0,0.62365794,-0.2893151,0.13980895,-0.71260154,0
197688000,-0.6198707,-0.24282935,-1.627383,0,0.6224309,-0.29177248,0.14082652,-0.7124721,0
197712000,-0.6249294,-0.23361269,-1.6276296,0,0.6229834,-0.29027882,0.14577682,-0.7116031,0
197736000,-0.63585234,-0.2342505,-1.6281292,0,0.62111485,-0.29385024,0.14951935,-0.7109938,0
197760000,-0.6406419,-0.23213391,-1.6283823,0,0.6206404,-0.29461884,0.151972,-0.71057,0
197784000,-0.64432347,-0.23570788,-1.6228646,0,0.62151057,-0.2973581,0.15125632,-0.70881903,0
197808000,-0.6546036,-0.23783837,-1.6233307,0,0.6194801,-0.30121142,0.15424895,-0.7083243,0
197832000,-0.6589861,-0.24084863,-1.623567,0,0.61826724,-0.30353558,0.15482116,-0.7082671,0
197856000,-0.66324365,-0.24316293,-1.6238053,0,0.6171731,-0.3055892,0.15558451,-0.70817107,0
197880000,-0.66598773,-0.23396982,-1.6181386,0,0.6201929,-0.30388024,0.15879336,-0.705551,0
197904000,-0.6754689,-0.2347445,-1.6185722,0,0.6184708,-0.30703408,0.1619415,-0.7049815,0
197928000,-0.67921835,-0.23242955,-1.618792,0,0.61818165,-0.30742142,0.16407709,-0.7045724,0
197952000,-0.6828434,-0.23611444,-1.6190139,0,0.6169617,-0.30972153,0.16414644,-0.7046181,0
197976000,-0.69017446,-0.2377905,-1.6133883,0,0.61753243,-0.3129909,0.16528395,-0.7024042,0
198000000,-0.6934539,-0.24100485,-1.613588,0,0.6164319,-0.31502494,0.16538149,-0.70243865,0
198024000,-0.6965917,-0.24299629,-1.6137896,0,0.6155442,-0.31661743,0.16584288,-0.7023922,0
198048000,-0.6976572,-0.23381318,-1.6078283,0,0.61894417,-0.31448376,0.16837892,-0.6997546,0
198072000,-0.7057447,-0.23491566,-1.6081823,0,0.6173655,-0.31730825,0.17089084,-0.6992651,0
198096000,-0.70836806,-0.2321085,-1.6083618,0,0.6173407,-0.31719995,0.1727843,-0.6988708,0
198120000,-0.7108397,-0.23596132,-1.6085432,0,0.616259,-0.3191846,0.17237617,-0.69902253,0
198144000,-0.71096206,-0.23713912,-1.6024092,0,0.6181889,-0.32012653,0.17104024,-0.6972136,0
198168000,-0.7181171,-0.2405584,-1.602719,0,0.6163707,-0.32340094,0.17242628,-0.6969708,0
198192000,-0.72008777,-0.24363384,-1.6028761,0,0.6154898,-0.32497522,0.17209756,-0.69709826,0
198216000,-0.719305,-0.23895907,-1.5965903,0,0.6185736,-0.32378635,0.17239003,-0.6948459,0
198240000,-0.72085875,-0.24032684,-1.5967185,0,0.6180524,-0.32469064,0.17248651,-0.69486374,0
198264000,-0.72445744,-0.23157567,-1.5904353,0,0.6210827,-0.323573,0.17568722,-0.69187486,0
198288000,-0.7255842,-0.23561883,-1.5905344,0,0.6202031,-0.32519597,0.17471918,-0.6921481,0
198312000,-0.72654194,-0.23431236,-1.5906346,0,0.6202273,-0.32507014,0.17551084,-0.6919851,0
198336000,-0.7242023,-0.2379366,-1.5840902,0,0.6222749,-0.32605898,0.17240317,-0.69046116,0
198360000,-0.7296289,-0.23815462,-1.5842273,0,0.6213046,-0.32780302,0.17422411,-0.69005203,0
198384000,-0.7299368,-0.22899903,-1.584297,0,0.6227353,-0.3250029,0.17746013,-0.68926173,0
198408000,-0.7265321,-0.23087637,-1.577582,0,0.6252933,-0.32512385,0.17455652,-0.6876284,0
198432000,-0.7264268,-0.22681758,-1.5776175,0,0.625959,-0.32380867,0.17591253,-0.6872976,0
198456000,-0.72222793,-0.23136601,-1.5707964,0,0.62824273,-0.32451656,0.17180884,-0.68591666,0
198480000,-0.7263797,-0.23068798,-1.5707964,0,0.6276782,-0.32560727,0.17346478,-0.68549985,0
198504000,-0.72129196,-0.23466446,-1.5638292,0,0.6302459,-0.32584992,0.16922213,-0.68408763,0
198528000,-0.72016054,-0.23384772,-1.5637916,0,0.63057536,-0.325241,0.16911015,-0.6841014,0
198552000,-0.7142017,-0.22471017,-1.556712,0,0.6354236,-0.32109454,0.16908184,-0.68157643,0
198576000,-0.7125062,-0.22704774,-1.5566355,0,0.6353494,-0.32129365,0.16768438,-0.681897,0
198600000,-0.7153857,-0.2220048,-1.5564799,0,0.63574344,-0.32064396,0.17038175,-0.68116647,0
198624000,-0.6776866,-0.22712776,-1.5348121,0,0.6482673,-0.31189057,0.15236598,-0.67768604,0
198648000,-0.63998747,-0.2252742,-1.5353237,0,0.6541293,-0.29899728,0.14029408,-0.68046534,0
198672000,-0.60228837,-0.23013508,-1.5275998,0,0.66159564,-0.28864077,0.124613486,-0.680771,0
198696000,-0.56458926,-0.22814812,-1.5198691,0,0.66982204,-0.27591932,0.11140066,-0.6802917,0
198720000,-0.52689016,-0.21901055,-1.5203795,0,0.6759008,-0.26029566,0.1018939,-0.681925,0
198744000,-0.48919106,-0.2225014,-1.5131495,0,0.6827302,-0.24895148,0.08687131,-0.6814368,0
198768000,-0.45149195,-0.21660256,-1.5136602,0,0.68780625,-0.23411065,0.076199085,-0.68286777,0
198792000,-0.41379285,-0.22241724,-1.5059106,0,0.69410926,-0.22323485,0.060348928,-0.6817158,0
198816000,-0.37609375,-0.21894331,-1.506423,0,0.6983764,-0.20896623,0.048804425,-0.68280417,0
198840000,-0.33839464,-0.22458945,-1.4986706,0,0.70428836,-0.1977489,0.033106163,-0.681012,0
198864000,-0.30069554,-0.22096291,-1.4991871,0,0.70804423,-0.18324195,0.021636628,-0.681636,0
198888000,-0.26299644,-0.21181728,-1.4914259,0,0.71477723,-0.16688639,0.011480451,-0.6790513,0
198912000,-0.22529732,-0.2150266,-1.4836547,0,0.7201829,-0.15443501,-0.003098436,-0.6763703,0
198936000,-0.1875982,-0.20920016,-1.4841764,0,0.723199,-0.1389095,-0.013664402,-0.67638785,0
198960000,-0.14989908,-0.21562947,-1.4763924,0,0.72790194,-0.12727612,-0.029273082,-0.673129,0
198984000,-0.11219996,-0.21060552,-1.4769219,0,0.730285,-0.11187717,-0.040070985,-0.6727269,0
199008000,-0.074500844,-0.21673721,-1.4691461,0,0.734552,-0.09991954,-0.055393532,-0.66886544,0
199032000,-0.03680173,-0.21146275,-1.4618897,0,0.73896456,-0.08406307,-0.06634712,-0.6651789,0
199056000,0.000897385,-0.20232049,-1.4624432,0,0.74058396,-0.067105286,-0.075469285,-0.66433173,0
199080000,0.0385965,-0.20529467,-1.4546654,0,0.74419516,-0.05377758,-0.08928634,-0.6597799,0
199104000,0.076295614,-0.19975735,-1.4468813,0,0.7477719,-0.037514914,-0.0998042,-0.65533876,0
199128000,0.11399473,-0.20588505,-1.4474456,0,0.74804467,-0.025473915,-0.11440065,-0.6532172,0
