timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
15632000,-0.22916108,0.34906584,1.544994,0.0,0.6868092,-0.20103464,0.044964597,0.697034,1.0,0.0,0.0,1,0,0,0,0,2
15656000,-0.22885391,0.34906584,1.54499,0.0,0.6868415,-0.20092905,0.045072056,0.6970257,1.0,0.0,0.0,1,0,0,0,0,2
15680000,-0.22854286,0.34906584,1.5449868,0.0,0.68687373,-0.20082216,0.045180775,0.69701755,1.0,0.0,0.0,1,0,0,0,0,2
15704000,-0.23207584,0.34906584,1.5409138,0.0,0.6879362,-0.20194528,0.044360787,0.6956968,1.0,0.0,0.0,1,0,0,0,0,2
15728000,-0.23157865,0.34906584,1.5409096,0.0,0.6879878,-0.20177415,0.044534154,0.69568425,1.0,0.0,0.0,1,0,0,0,0,2
15752000,-0.2311538,0.34906584,1.540912,0.0,0.68802977,-0.20162807,0.04468169,0.6956756,1.0,0.0,0.0,1,0,0,0,0,2
15776000,-0.23471133,0.34158167,1.5368376,0.0,0.6898452,-0.20027235,0.04117266,0.69448507,0.38562572,0.0,0.0,1,0,0,0,0,2
15800000,-0.23422669,0.33410287,1.5368263,0.0,0.6906459,-0.19761342,0.038658783,0.69459534,0.4080104,0.0,0.0,1,0,0,0,0,2
15824000,-0.23342203,0.32662842,1.5367233,0.0,0.69149834,-0.19484057,0.03626603,0.6946597,0.42910272,0.0,0.0,1,0,0,0,0,2
15848000,-0.23256072,0.3191572,1.5365865,0.0,0.6923557,-0.19204548,0.033896632,0.6947035,0.4489077,0.0,0.0,1,0,0,0,0,2
15872000,-0.2355145,0.3116882,1.5323083,0.0,0.69427603,-0.19050717,0.030596502,0.69336253,0.46744692,0.0,0.0,1,0,0,0,0,2
15896000,-0.23445536,0.30421388,1.5321356,0.0,0.6951464,-0.18764235,0.028290614,0.6933696,0.48567325,0.0,0.0,1,0,0,0,0,2
15920000,-0.23333266,0.29673374,1.5319641,0.0,0.6960102,-0.18475044,0.026003726,0.69336927,0.5025574,0.0,0.0,1,0,0,0,0,2
15944000,-0.23218274,0.28924745,1.5317973,0.0,0.69686264,-0.18184403,0.02372285,0.69336313,0.5180992,0.0,0.0,1,0,0,0,0,2
15968000,-0.23500878,0.28175488,1.5274379,0.0,0.69879764,-0.18027669,0.020438485,0.691928,0.5323966,0.0,0.0,1,0,0,0,0,2
15992000,-0.23379616,0.27424568,1.5272663,0.0,0.6996394,-0.17734113,0.018163934,0.6918996,0.5468029,0.0,0.0,1,0,0,0,0,2
16016000,-0.23252113,0.26672024,1.5271064,0.0,0.7004706,-0.17437533,0.015903331,0.69186795,0.55988705,0.0,0.0,1,0,0,0,0,2
16040000,-0.23123062,0.2591791,1.5269561,0.0,0.7012878,-0.17139593,0.013640955,0.6918328,0.5717839,0.0,0.0,1,0,0,0,0,2
16064000,-0.23381376,0.25162286,1.5225568,0.0,0.70323354,-0.16974628,0.010393247,0.6903194,0.5825359,0.0,0.0,1,0,0,0,0,2
16088000,-0.232477,0.24404441,1.5224264,0.0,0.70402944,-0.16673857,0.008124225,0.69027156,0.593331,0.0,0.0,1,0,0,0,0,2
16112000,-0.23110466,0.2364448,1.522314,0.0,0.70481,-0.16370827,0.00585784,0.69022334,0.6029499,0.0,0.0,1,0,0,0,0,2
16136000,-0.22978856,0.2288252,1.522221,0.0,0.70556694,-0.16068807,0.0035628006,0.69017535,0.61147094,0.0,0.0,1,0,0,0,0,2
16160000,-0.22856246,0.22118683,1.5221529,0.0,0.7062956,-0.15769039,0.0012276098,0.69012946,0.6191381,0.0,0.0,1,0,0,0,0,2
16184000,-0.23131487,0.2135265,1.5177951,0.0,0.7081818,-0.1560935,-0.0021537244,0.68855554,0.6263871,0.0,0.0,1,0,0,0,0,2
16208000,-0.23006876,0.20584568,1.51776,0.0,0.7088824,-0.15307501,-0.004506737,0.688501,0.6329138,0.0,0.0,1,0,0,0,0,2
16232000,-0.2288206,0.19939665,1.5177383,0.0,0.7094723,-0.15046664,-0.0064135566,0.68845314,0.6386136,0.0,0.0,1,0,0,0,0,2
16256000,-0.2275947,0.20085505,1.5177305,0.0,0.7094579,-0.15052179,-0.005462222,0.6884641,0.64356846,0.0,0.0,1,0,0,0,0,2
16280000,-0.23023833,0.202136,1.51342,0.0,0.7106437,-0.151902,-0.005580455,0.68693537,0.6477882,0.0,0.0,1,0,0,0,0,2
