timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
240976000,0.017305255,0.051122665,-0.06410527,0.03741455,0.108673096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.014862061,0.0,0.0,nan,0.0,0.0,-0.01589775,2.1431595e-05,0.0016569346,-0.0016317666,0.0,0.0,-0.08088112,0.0036904677,0.0
241176000,0.011877939,0.040355682,-0.073943734,0.039154053,0.10696411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.09719849,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.00010108948,-0.00030823052,-0.00059598684,0.0,0.0,-0.008693695,0.0038014874,0.0
241376000,0.045253173,0.032173157,-0.08251691,0.02708435,0.15115356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.019622803,0.0,0.0,nan,0.0,0.0,-0.01589775,0.00040413998,-0.0025953501,-6.3449144e-05,0.0,0.0,0.046523094,0.004068431,0.0
241576000,0.01492548,0.024975777,-0.02834332,0.024047852,0.0635376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.0206604,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0010975134,0.0011361837,-0.0034094155,0.0,0.0,-0.041668892,0.0039108554,0.0
241776000,0.05812548,0.019459724,-0.021064043,0.019836426,0.15600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.01940918,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0043476634,-0.0011931062,-0.0020664334,0.0,0.0,-0.07351589,0.004143621,0.0
241976000,0.007836118,0.032025337,-0.06782246,0.022979736,0.1204834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.07601929,0.0,0.0,nan,0.0,0.0,-0.01589775,0.001762229,0.00012552738,-0.001557976,0.0,0.0,0.17885685,0.004035831,0.0
242176000,0.041972324,0.032538414,-0.06399429,0.017532349,0.1138916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0029907227,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0010573231,0.00096674263,0.0011387467,0.0,0.0,-0.20474815,0.003982155,0.0
242376000,0.041972324,0.032538414,-0.06399429,0.017532349,0.1138916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.16415405,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.001348705,-0.0005646944,-0.0011730194,0.0,0.0,-0.052545547,0.0039328868,0.0
242576000,0.013466194,0.033002853,-0.04387808,0.019607544,0.11468506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.065826416,0.0,0.0,nan,0.0,0.0,-0.01589775,0.00059098285,-0.0025843382,0.0005928278,0.0,0.0,0.03486061,0.0038756486,0.0
242776000,0.015078768,0.013170242,-0.014154911,0.010314941,0.15844727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.14059448,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.00072192587,-0.0014297664,0.0032543838,0.0,0.0,0.05431938,0.003924377,0.0
242976000,0.014068261,0.033794403,-0.06124246,0.013595581,0.064331055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.04623413,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0004491387,-0.0009982735,0.001950264,0.0,0.0,-0.09289551,0.0042012404,0.0
243176000,0.011238053,0.0052843094,-0.0038362741,0.0044403076,0.14596558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.04196167,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.00062556285,0.0003079921,-0.0008915961,0.0,0.0,-0.024810791,0.003855733,0.0
