timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
169056000,169052000,4000000.0,1.0,0.11254979,12.616532,0.0,255,0,6,4,0,0,0,0,1,1,36
170056000,170052000,4000000.0,1.0,0.13545816,12.297808,0.0,255,0,6,4,0,0,0,0,1,1,36
171056000,171052000,4000000.0,1.0,0.1384462,12.7998,0.0,255,0,6,4,0,0,0,0,1,1,36
172056000,172052000,4000000.0,1.0,0.11254979,12.32968,0.0,255,0,6,4,0,0,0,0,1,1,36
173056000,173052000,4000000.0,1.0,0.11254979,12.580676,0.0,255,0,6,4,0,0,0,0,1,1,36
174052000,174048000,4000000.0,1.0,0.11254979,12.28486,0.0,255,0,6,4,0,0,0,0,1,1,36
175052000,175048000,4000000.0,1.0,0.11254979,12.615537,0.0,255,0,6,4,0,0,0,0,1,1,36
176052000,176048000,4000000.0,1.0,0.13545816,12.461154,0.0,255,0,6,4,0,0,0,0,1,1,36
177052000,177048000,4000000.0,1.0,0.11254979,12.660357,0.0,255,0,6,4,0,0,0,0,1,1,36
178048000,178048000,4000000.0,1.0,0.11254979,12.28486,0.0,255,0,6,4,0,0,0,0,1,1,36
179048000,178048000,4000000.0,1.0,0.11254979,12.567728,0.0,255,0,6,4,0,0,0,0,1,1,36
180048000,180044000,4000000.0,1.0,0.11254979,12.28486,0.0,255,0,6,4,0,0,0,0,1,1,36
181044000,181044000,4000000.0,1.0,0.1384462,12.766932,0.0,255,0,6,4,0,0,0,0,1,1,36
182044000,181044000,4000000.0,1.0,0.13545816,12.141433,0.0,255,0,6,4,0,0,0,0,1,1,36
183044000,182044000,4000000.0,1.0,0.11254979,12.440238,0.0,255,0,6,4,0,0,0,0,1,1,36
184040000,184036000,4000000.0,1.0,0.11254979,12.122509,0.0,255,0,6,4,0,0,0,0,1,1,36
185040000,185036000,4000000.0,1.0,0.11254979,12.396413,0.0,255,0,6,4,0,0,0,0,1,1,36
186040000,186036000,4000000.0,1.0,0.11254979,12.285855,0.0,255,0,6,4,0,0,0,0,1,1,36
187040000,187036000,4000000.0,1.0,0.13545816,12.472111,0.0,255,0,6,4,0,0,0,0,1,1,36
188036000,188032000,4000000.0,1.0,0.11254979,12.125497,0.0,255,0,6,4,0,0,0,0,1,1,36
189036000,189032000,4000000.0,1.0,0.11254979,12.444222,0.0,255,0,6,4,0,0,0,0,1,1,36
190036000,190032000,4000000.0,1.0,0.11254979,12.113544,0.0,255,0,6,4,0,0,0,0,1,1,36
191036000,191032000,4000000.0,1.0,0.1384462,12.597609,0.0,255,0,6,4,0,0,0,0,1,1,36
192036000,192032000,4000000.0,1.0,0.11254979,12.283863,0.0,255,0,6,4,0,0,0,0,1,1,36
193036000,193032000,4000000.0,1.0,0.13545816,12.615537,0.0,255,0,6,4,0,0,0,0,1,1,36
194036000,194032000,4000000.0,1.0,0.11254979,12.297808,0.0,255,0,6,4,0,0,0,0,1,1,36
195036000,195032000,4000000.0,1.0,0.11254979,12.602589,0.0,255,0,6,4,0,0,0,0,1,1,36
196032000,196028000,4000000.0,1.0,0.11254979,12.448206,0.0,255,0,6,4,0,0,0,0,1,1,36
197032000,197028000,4000000.0,1.0,0.11254979,12.612549,0.0,255,0,6,4,0,0,0,0,1,1,36
198032000,198028000,4000000.0,1.0,0.11254979,12.28486,0.0,255,0,6,4,0,0,0,0,1,1,36
199032000,199028000,4000000.0,1.0,0.13545816,12.628485,0.0,255,0,6,4,0,0,0,0,1,1,36
200012000,0,4000000.0,1.0,0.0,16.356573,0.0,0,0,0,0,0,2,0,0,0,1,44
201012000,0,4000000.0,1.0,0.0,16.400396,0.0,0,0,0,0,0,2,0,0,0,1,44
202012000,0,4000000.0,1.0,0.0,16.326693,0.0,0,0,0,0,0,2,0,0,0,1,44
203012000,0,4000000.0,1.0,0.0,16.400396,0.0,0,0,0,0,0,2,0,0,0,1,44
204012000,0,4000000.0,1.0,0.0,16.250994,0.0,0,0,0,0,0,2,0,0,0,1,44
205012000,0,4000000.0,1.0,0.0,16.470118,0.0,0,0,0,0,0,2,0,0,0,1,44
206012000,0,4000000.0,1.0,0.0,16.320715,0.0,0,0,0,0,0,2,0,0,0,1,44
207012000,0,4000000.0,1.0,0.0,16.40239,0.0,0,0,0,0,0,2,0,0,0,1,44
